name,task,data_types,owner,language,access,license,paper,dataset_url,notes
"Lyra-SA","singing assessment","audio; ratings; MIDI; lyrics","Tencent / WeSing / Tianqin Music Lab","Mandarin","open","check source terms","https://lyracobar.y.qq.com/singvoicedataset_en.html","https://lyracobar.y.qq.com/singvoicedataset_en.html","good starting dataset for full-song scoring"
"SingEval","singing assessment","annotations; ratings","SingEval authors + DAMP audio","English","open annotations / restricted audio","mixed","https://github.com/chitralekha18/SingEval","https://github.com/chitralekha18/SingEval","depends on DAMP for audio"
"DAMP-VP1k","karaoke singing","audio; metadata; singer ids","Smule","multilingual","restricted","Smule research terms","https://zenodo.org/records/2533419","https://zenodo.org/records/2533419","useful source audio for singing assessment"
"PESnQ-DS","singing assessment","audio; overall score; intonation; rhythm; vibrato; timbre; pronunciation","NUS researchers","English","limited / paper-linked","check source terms","https://www.cambridge.org/core/journals/apsipa-transactions-on-signal-and-information-processing/article/technical-framework-for-automatic-perceptual-evaluation-of-singing-quality/5F6AECB907FE842481D070850EDF1EFA","https://smcnus.comp.nus.edu.sg/archive/pdf/2017-2018/2018_pesnq-apsipa-transactions.pdf","fine-grained feedback labels"
"SingPAD","sight-singing / learner modeling","records; note correctness; concept mappings; pitch/rhythm evaluations","HUST / SingMaster","not specified","open","check source terms","https://zenodo.org/records/12729828","https://github.com/itec-hust/singKT-dataset","no raw singing-audio focus, but strong for tutoring logic"
"SPED","sight-singing evaluation","audio; pitch score sequences; rhythm score sequences; score metadata","SPED authors","not specified","paper says open","check source terms","https://doi.org/10.1109/ICASSP49660.2025.10889301","https://doi.org/10.1109/ICASSP49660.2025.10889301","large learner dataset"
"VocalSet","technique recognition","audio; singer labels; technique labels; vowels","Northwestern University","English","open","check Zenodo terms","https://zenodo.org/records/1492453","https://zenodo.org/records/1442513","core dataset for vocal technique work"
"Annotated-VocalSet","pitch / note supervision","audio-aligned F0; note onsets; note offsets; MIDI pitch; lyrics","Maynooth University","English","open","check Zenodo terms","https://zenodo.org/records/7061507","https://zenodo.org/records/7061507","extends VocalSet with note annotations"
"Vocadito","pitch tracking","audio; F0; note annotations; lyrics; language labels","Spotify + IRCAM","multilingual","open","check Zenodo terms","https://zenodo.org/records/5578807","https://zenodo.org/records/5578807","clean monophonic singing dataset"
"GTSinger","multi-task singing","audio; paired speech; phoneme alignment; technique labels; style labels; music scores","Zhejiang University","multilingual","open","dataset terms","https://huggingface.co/papers/2409.13832","https://huggingface.co/datasets/GTSinger/GTSinger","broad foundation dataset"
